time,tmax,tmin,precip,rhmax,rhmin,rsds
2/15/1978,292.02301,278.465546,16.776318,68.467598,25.684757,160.700333
3/15/1978,298.090454,281.57431,8.360874,52.359726,16.123236,241.806625
4/15/1978,301.091125,284.989746,2.831025,42.358959,12.039046,294.937164
5/15/1978,305.3013,288.715607,0.635815,34.278656,10.463969,332.059998
6/15/1978,308.83371,291.743927,0,35.403526,10.633092,339.73114
7/15/1978,312.146271,295.598053,0,30.389833,10.015646,314.074158
8/15/1978,312.529236,297.026611,25.426262,48.341549,17.505642,273.9198
9/15/1978,307.395416,294.061066,3.087493,58.585152,21.165466,229.008972
10/15/1978,298.605438,284.979645,33.450966,63.403214,21.219549,183.501602
11/15/1978,294.345886,278.934479,6.050979,61.116196,20.126692,143.095551
12/15/1978,285.181946,272.342804,8.108004,62.109615,21.095741,117.682175
1/15/1979,287.718842,273.462158,0.63707,56.256538,18.383121,132.91713
2/15/1979,292.915985,278.864319,7.650978,62.247459,23.186243,167.766617
3/15/1979,297.462341,281.009705,8.471965,45.147076,14.160761,239.856705
4/15/1979,298.728943,283.215942,13.846867,58.052048,16.505102,270.550812
5/15/1979,304.882233,288.051361,1.708855,46.179752,11.847297,320.649384
6/15/1979,309.531433,291.824615,1.303852,35.159859,8.951122,332.561249
7/15/1979,314.27179,297.4216,0.63531,25.902412,7.979166,332.523743
8/15/1979,312.83844,296.135437,1.640182,34.413654,11.883673,295.405457
9/15/1979,308.858124,289.806213,0,34.700645,10.140882,252.113937
10/15/1979,303.972321,285.493561,2.117383,41.078609,10.901378,197.119095
11/15/1979,294.284027,277.899384,0.681896,46.78997,13.32642,152.013092
12/15/1979,284.57309,272.340027,20.22794,70.415749,27.238409,116.459724
1/15/1980,287.255859,273.896057,43.956379,76.19165,32.524288,124.809631
2/15/1980,290.722748,276.939453,26.763973,71.897713,26.012959,164.733963
3/15/1980,294.575745,279.853668,45.576462,59.691113,21.298645,230.67746
4/15/1980,299.240997,283.20993,1.554985,48.453377,14.407233,293.106354
5/15/1980,305.024048,287.915405,1.189254,43.854717,11.854438,331.099731
6/15/1980,310.019958,291.93454,4.430502,34.072323,8.922291,341.747223
7/15/1980,312.606628,296.438812,1.011623,41.765152,13.993691,323.227386
8/15/1980,312.340027,294.131165,3.270958,33.105053,9.795505,302.217407
9/15/1980,309.034668,292.495209,10.452511,42.75605,14.40164,239.177414
10/15/1980,300.729218,285.537537,15.038708,48.964752,16.799339,190.810638
11/15/1980,296.407898,282.377747,19.273903,67.59951,28.045191,124.275772
12/15/1980,287.756989,275.212463,53.278343,73.74456,29.844374,115.194313
1/15/1981,289.959778,277.09787,21.075563,77.18335,34.168369,121.842613
2/15/1981,292.833466,277.293182,25.844936,61.33313,21.639559,178.718414
3/15/1981,292.51886,277.986237,9.233993,59.097305,20.657915,238.588486
4/15/1981,301.990417,284.946381,27.622952,40.132637,13.321795,295.590424
