time,tmax,tmin,precip,rhmax,rhmin,rsds
6/15/1988,303.871368,287.33255,5.867865,44.037174,12.236502,346.168365
7/15/1988,310.476379,294.763702,8.520872,30.650988,10.602862,333.332672
8/15/1988,307.9664,292.515625,10.736332,44.026505,14.056444,297.399323
9/15/1988,308.40979,291.435638,2.528397,35.185238,11.257034,255.93013
10/15/1988,302.238922,285.816345,0.293288,38.63028,12.484406,205.687225
11/15/1988,289.985077,277.124908,3.516261,49.380451,16.401314,144.603714
12/15/1988,288.634338,275.512695,52.124374,55.03088,19.883463,118.869682
1/15/1989,285.872314,275.591156,6.415224,63.177883,27.195885,125.168983
2/15/1989,287.657288,276.359009,42.170307,75.688667,32.271397,160.117889
3/15/1989,290.04715,275.251862,1.259848,44.01194,13.378221,245.616592
4/15/1989,298.686737,282.205414,1.838402,45.132202,11.347139,294.028412
5/15/1989,304.999969,288.99292,0.979815,33.48513,10.340963,336.692444
6/15/1989,305.117065,289.898804,15.158663,45.075523,15.437175,343.267639
7/15/1989,309.016571,293.480774,0.908499,46.287952,14.234057,331.701447
8/15/1989,309.300385,293.768799,18.809284,35.016468,13.495943,297.864258
9/15/1989,304.938141,289.753113,25.85067,52.284439,17.403812,248.996887
10/15/1989,297.59024,281.487366,2.313337,39.786488,13.258833,203.795715
11/15/1989,292.61972,278.507385,27.72315,60.057243,23.178673,143.697067
12/15/1989,283.697632,272.818726,23.575394,65.509926,27.311415,123.193192
1/15/1990,287.563385,274.802887,21.268435,57.700787,24.97794,135.324554
2/15/1990,287.670929,274.579987,18.489784,63.954185,24.116259,171.671478
3/15/1990,294.102631,278.76297,0,44.966965,13.625803,235.840958
4/15/1990,297.274292,279.370697,0,38.889462,11.929067,306.103394
5/15/1990,306.180695,289.872986,0,36.970604,11.187376,327.488037
6/15/1990,308.052673,291.20929,7.30859,33.324902,9.652857,348.33432
7/15/1990,310.194061,295.015686,0.444575,26.484606,10.985009,327.800659
8/15/1990,308.093689,292.062439,0.296548,34.370403,12.829272,299.441711
9/15/1990,308.19809,291.721344,1.162979,37.035282,12.306199,254.183533
10/15/1990,297.155823,282.677155,35.57198,50.532413,15.479214,196.956482
11/15/1990,291.577026,277.915894,49.612473,55.704567,22.219126,136.814117
12/15/1990,284.921051,274.295227,24.828371,63.437016,26.884174,120.469322
1/15/1991,289.434692,277.30188,11.872846,64.502937,27.083733,128.392059
